"Date","Price","Open","High","Low","Vol.","Change %"
"27-07-2009","5,839.55","5,808.15","5,860.95","5,800.30","110.46M","1.20%"
"24-07-2009","5,770.45","5,733.05","5,776.60","5,697.25","123.38M","1.66%"
"23-07-2009","5,675.95","5,609.40","5,684.30","5,609.40","106.75M","1.48%"
"22-07-2009","5,593.20","5,659.65","5,720.45","5,575.20","129.81M","-0.68%"
"21-07-2009","5,631.50","5,633.40","5,653.90","5,577.75","126.24M","0.12%"
"20-07-2009","5,624.50","5,527.75","5,629.95","5,527.35","123.94M","2.74%"
"17-07-2009","5,474.30","5,412.25","5,489.65","5,411.90","128.37M","2.28%"
"16-07-2009","5,352.40","5,434.15","5,452.55","5,335.30","113.94M","-0.08%"
"15-07-2009","5,356.70","5,240.45","5,363.65","5,238.60","122.35M","3.29%"
"14-07-2009","5,185.85","5,089.05","5,199.95","5,089.05","100.56M","3.59%"
"13-07-2009","5,006.25","5,100.90","5,100.90","4,958.25","103.33M","-2.83%"
"10-07-2009","5,152.25","5,282.30","5,301.85","5,119.90","97.00M","-1.97%"
"09-07-2009","5,255.60","5,224.50","5,279.00","5,178.40","112.18M","0.95%"
"08-07-2009","5,206.20","5,304.75","5,304.75","5,142.70","118.38M","-2.21%"
"07-07-2009","5,323.70","5,282.80","5,336.45","5,225.80","97.42M","0.99%"
"06-07-2009","5,271.50","5,574.10","5,597.55","5,248.90","144.21M","-4.80%"
"03-07-2009","5,537.45","5,468.45","5,548.40","5,461.90","98.05M","0.75%"
"02-07-2009","5,496.00","5,517.75","5,540.95","5,458.35","103.16M","0.39%"
"01-07-2009","5,474.55","5,458.85","5,486.05","5,360.70","101.83M","0.87%"
"30-06-2009","5,427.25","5,613.70","5,633.40","5,404.60","125.50M","-2.59%"
"29-06-2009","5,571.55","5,537.45","5,600.95","5,505.30","131.36M","1.10%"
"26-06-2009","5,511.15","5,416.40","5,516.30","5,416.40","104.62M","2.18%"
"25-06-2009","5,393.50","5,434.00","5,493.40","5,382.30","157.07M","-0.52%"
"24-06-2009","5,421.70","5,352.85","5,427.90","5,318.30","129.90M","2.27%"
"23-06-2009","5,301.35","5,251.60","5,314.35","5,167.55","125.06M","0.34%"
"22-06-2009","5,283.55","5,330.35","5,381.35","5,267.35","107.15M","-0.46%"
"19-06-2009","5,308.20","5,263.10","5,336.35","5,203.55","128.19M","1.85%"
"18-06-2009","5,211.65","5,326.90","5,373.85","5,149.25","148.00M","-2.44%"
"17-06-2009","5,341.80","5,550.80","5,570.75","5,314.30","141.05M","-3.57%"
"16-06-2009","5,539.65","5,407.35","5,551.65","5,396.25","160.11M","1.13%"
"15-06-2009","5,477.75","5,525.40","5,582.25","5,450.25","126.71M","-1.35%"
"12-06-2009","5,552.90","5,711.85","5,731.40","5,533.40","196.46M","-1.78%"
"11-06-2009","5,653.70","5,677.50","5,712.40","5,585.60","187.29M","-0.36%"
"10-06-2009","5,674.20","5,654.75","5,741.55","5,611.45","188.72M","1.85%"
"09-06-2009","5,571.00","5,378.60","5,583.25","5,268.95","201.06M","2.92%"
"08-06-2009","5,412.80","5,730.90","5,756.95","5,386.15","169.33M","-4.75%"
"05-06-2009","5,682.95","5,749.20","5,805.70","5,664.55","225.11M","-0.37%"
"04-06-2009","5,704.05","5,566.85","5,708.40","5,562.90","219.68M","2.03%"
"03-06-2009","5,590.40","5,570.35","5,635.10","5,497.70","191.62M","1.49%"
"02-06-2009","5,508.30","5,549.45","5,562.20","5,414.25","183.64M","0.40%"
"01-06-2009","5,486.35","5,462.75","5,491.00","5,418.40","184.12M","2.48%"
"29-05-2009","5,353.55","5,260.00","5,387.10","5,260.00","219.11M","2.56%"
"28-05-2009","5,219.80","5,234.25","5,247.60","5,196.15","163.70M","0.30%"
"27-05-2009","5,204.00","5,115.95","5,205.30","5,115.95","117.51M","3.17%"
"26-05-2009","5,044.00","5,274.00","5,305.70","5,000.95","136.07M","-3.27%"
"25-05-2009","5,214.60","5,146.20","5,225.50","5,128.10","134.66M","2.58%"
"22-05-2009","5,083.65","5,040.95","5,102.30","4,954.00","141.06M","0.76%"
"21-05-2009","5,045.25","5,051.45","5,172.85","4,991.30","171.52M","0.47%"
"20-05-2009","5,021.75","4,748.85","5,043.80","4,748.85","183.26M","5.77%"
"19-05-2009","4,747.90","4,771.90","4,847.80","4,433.45","301.78M","2.21%"
"18-05-2009","4,645.05","4,497.05","4,662.50","4,497.05","1.37M","12.14%"
"15-05-2009","4,142.20","4,098.25","4,173.75","4,098.25","124.17M","1.72%"
"14-05-2009","4,072.15","3,973.10","4,074.35","3,973.10","113.45M","0.64%"
"13-05-2009","4,046.30","4,059.30","4,100.25","4,033.55","116.57M","0.15%"
"12-05-2009","4,040.40","3,997.30","4,041.80","3,952.90","121.76M","0.88%"
"11-05-2009","4,005.15","4,087.45","4,101.25","3,983.75","123.02M","-1.27%"
"08-05-2009","4,056.80","4,071.50","4,109.80","4,000.30","148.24M","-0.32%"
"07-05-2009","4,069.85","4,037.75","4,076.30","4,022.15","116.21M","2.02%"
"06-05-2009","3,989.20","4,067.15","4,102.85","3,967.05","140.71M","-1.54%"
"05-05-2009","4,051.55","4,035.90","4,082.75","4,018.60","174.54M","0.89%"
"04-05-2009","4,015.65","3,882.40","4,021.50","3,882.40","118.36M","4.01%"
"29-04-2009","3,860.80","3,851.60","3,870.75","3,815.75","113.22M","1.49%"
"28-04-2009","3,804.15","3,948.80","3,960.40","3,792.10","105.46M","-3.52%"
"27-04-2009","3,943.05","3,962.95","4,022.45","3,931.20","128.68M","-0.42%"
"24-04-2009","3,959.80","3,913.00","3,963.00","3,910.40","139.46M","1.68%"
"23-04-2009","3,894.25","3,870.75","3,902.35","3,798.30","140.93M","1.29%"
"22-04-2009","3,844.75","3,924.10","3,968.40","3,826.45","142.80M","-1.08%"
"21-04-2009","3,886.65","3,864.70","3,925.95","3,850.90","148.37M","-1.05%"
"20-04-2009","3,927.80","3,893.45","3,964.90","3,893.45","128.42M","1.66%"
"17-04-2009","3,863.80","3,877.20","3,959.45","3,831.45","133.25M","1.26%"
"16-04-2009","3,815.55","4,019.80","4,051.90","3,800.30","154.67M","-3.61%"
"15-04-2009","3,958.35","3,769.15","3,966.85","3,769.15","177.34M","4.23%"
"13-04-2009","3,797.70","3,681.60","3,824.50","3,681.60","138.68M","3.00%"
"09-04-2009","3,687.05","3,671.75","3,729.70","3,644.45","143.89M","0.74%"
"08-04-2009","3,659.90","3,500.35","3,666.00","3,490.75","136.51M","2.05%"
"06-04-2009","3,586.45","3,612.25","3,630.20","3,549.85","116.96M","1.12%"
"02-04-2009","3,546.70","3,491.75","3,569.55","3,487.65","137.60M","3.35%"
"01-04-2009","3,431.80","3,418.25","3,450.70","3,395.45","99.55M","0.71%"
"31-03-2009","3,407.45","3,369.60","3,415.90","3,335.20","143.59M","1.52%"
"30-03-2009","3,356.40","3,355.10","3,372.80","3,326.95","96.84M","-0.84%"
"27-03-2009","3,385.00","3,331.85","3,388.00","3,317.20","122.13M","2.17%"
"26-03-2009","3,312.95","3,342.00","3,359.30","3,277.35","152.77M","0.59%"
"25-03-2009","3,293.45","3,273.20","3,307.15","3,248.20","117.60M","0.41%"
"24-03-2009","3,280.05","3,315.30","3,371.45","3,268.30","98.78M","-0.50%"
"23-03-2009","3,296.60","3,213.20","3,302.90","3,213.20","87.15M","3.00%"
