"Date","Price","Open","High","Low","Change %"
"Jun 25, 2018","18.443","18.443","18.443","18.443","-0.55%"
"Jun 22, 2018","18.545","18.545","18.545","18.545","0.75%"
"Jun 21, 2018","18.407","18.407","18.407","18.407","-0.27%"
"Jun 20, 2018","18.456","18.456","18.456","18.456","0.57%"
"Jun 19, 2018","18.351","18.351","18.351","18.351","-0.83%"
"Jun 18, 2018","18.504","18.504","18.504","18.504","-0.17%"
"Jun 15, 2018","18.535","18.535","18.535","18.535","0.09%"
"Jun 14, 2018","18.518","18.518","18.518","18.518","-0.31%"
"Jun 13, 2018","18.575","18.575","18.575","18.575","0.12%"
"Jun 12, 2018","18.552","18.552","18.552","18.552","0.51%"
"Jun 11, 2018","18.457","18.457","18.457","18.457","0.18%"
"Jun 08, 2018","18.424","18.424","18.424","18.424","-0.01%"
"Jun 07, 2018","18.426","18.426","18.426","18.426","0.78%"
"Jun 06, 2018","18.283","18.283","18.283","18.283","0.86%"
"Jun 05, 2018","18.127","18.127","18.127","18.127","-0.33%"
"Jun 04, 2018","18.187","18.187","18.187","18.187","-0.62%"
"Jun 01, 2018","18.301","18.301","18.301","18.301","-0.37%"
"May 31, 2018","18.369","18.369","18.369","18.369","1.24%"
"May 30, 2018","18.144","18.144","18.144","18.144","-0.18%"
"May 29, 2018","18.177","18.177","18.177","18.177","-0.51%"
"May 28, 2018","18.271","18.271","18.271","18.271","0.78%"
"May 25, 2018","18.129","18.129","18.129","18.129","0.97%"
"May 24, 2018","17.955","17.955","17.955","17.955","0.80%"
"May 23, 2018","17.813","17.813","17.813","17.813","-1.01%"
"May 22, 2018","17.994","17.994","17.994","17.994","0.19%"
"May 21, 2018","17.960","17.960","17.960","17.960","-0.75%"
"May 18, 2018","18.096","18.096","18.096","18.096","-0.81%"
"May 17, 2018","18.243","18.243","18.243","18.243","-0.55%"
"May 16, 2018","18.343","18.343","18.343","18.343","-0.56%"
"May 15, 2018","18.446","18.446","18.446","18.446","-0.05%"
"May 14, 2018","18.455","18.455","18.455","18.455","0.00%"
"May 11, 2018","18.455","18.455","18.455","18.455","0.84%"
"May 10, 2018","18.302","18.302","18.302","18.302","-0.23%"
"May 09, 2018","18.345","18.345","18.345","18.345","0.22%"
"May 08, 2018","18.304","18.304","18.304","18.304","0.02%"
"May 07, 2018","18.300","18.300","18.300","18.300","0.91%"
"May 04, 2018","18.135","18.135","18.135","18.135","-0.58%"
"May 03, 2018","18.240","18.240","18.240","18.240","-0.36%"
"May 02, 2018","18.305","18.305","18.305","18.305","-0.19%"
"May 01, 2018","18.340","18.340","18.340","18.340","0.00%"
"Apr 30, 2018","18.340","18.340","18.340","18.340","0.43%"
"Apr 27, 2018","18.261","18.261","18.261","18.261","0.70%"
"Apr 26, 2018","18.134","18.134","18.134","18.134","0.45%"
"Apr 25, 2018","18.053","18.053","18.053","18.053","-0.41%"
"Apr 24, 2018","18.128","18.128","18.128","18.128","0.28%"
"Apr 23, 2018","18.078","18.078","18.078","18.078","0.19%"
"Apr 20, 2018","18.043","18.043","18.043","18.043","-0.01%"
"Apr 19, 2018","18.045","18.045","18.045","18.045","0.37%"
"Apr 18, 2018","17.978","17.978","17.978","17.978","-0.22%"
"Apr 17, 2018","18.017","18.017","18.017","18.017","0.19%"
"Apr 16, 2018","17.982","17.982","17.982","17.982","0.45%"
"Apr 13, 2018","17.901","17.901","17.901","17.901","0.20%"
"Apr 12, 2018","17.866","17.866","17.866","17.866","0.40%"
"Apr 11, 2018","17.795","17.795","17.795","17.795","0.14%"
"Apr 10, 2018","17.770","17.770","17.770","17.770","0.22%"
"Apr 09, 2018","17.731","17.731","17.731","17.731","0.46%"
"Apr 06, 2018","17.650","17.650","17.650","17.650","0.06%"
"Apr 05, 2018","17.639","17.639","17.639","17.639","1.93%"
"Apr 04, 2018","17.305","17.305","17.305","17.305","-1.13%"
"Apr 03, 2018","17.502","17.502","17.502","17.502","0.32%"
"Apr 02, 2018","17.446","17.446","17.446","17.446","0.96%"
"Mar 30, 2018","17.280","17.280","17.280","17.280","0.00%"
"Mar 29, 2018","17.280","17.280","17.280","17.280","0.00%"
"Mar 28, 2018","17.280","17.280","17.280","17.280","-0.69%"
"Mar 27, 2018","17.400","17.400","17.400","17.400","0.52%"
"Mar 26, 2018","17.310","17.310","17.310","17.310","1.32%"
"Mar 23, 2018","17.085","17.085","17.085","17.085","-1.15%"
"Mar 22, 2018","17.284","17.284","17.284","17.284","-0.38%"
"Mar 21, 2018","17.350","17.350","17.350","17.350","0.31%"
"Mar 20, 2018","17.297","17.297","17.297","17.297","0.39%"
"Mar 19, 2018","17.229","17.229","17.229","17.229","-0.99%"
"Mar 16, 2018","17.401","17.401","17.401","17.401","-1.54%"
"Mar 15, 2018","17.673","17.673","17.673","17.673","-0.48%"
"Mar 14, 2018","17.759","17.759","17.759","17.759","-0.16%"
"Mar 13, 2018","17.787","17.787","17.787","17.787","0.07%"
"Mar 12, 2018","17.775","17.775","17.775","17.775","1.90%"
"Mar 09, 2018","17.444","17.444","17.444","17.444","-0.15%"
"Mar 08, 2018","17.471","17.471","17.471","17.471","0.87%"
"Mar 07, 2018","17.321","17.321","17.321","17.321","-0.93%"
"Mar 06, 2018","17.483","17.483","17.483","17.483","-1.05%"
"Mar 05, 2018","17.669","17.669","17.669","17.669","-0.95%"
"Mar 02, 2018","17.839","17.839","17.839","17.839","0.00%"
"Mar 01, 2018","17.839","17.839","17.839","17.839","-0.33%"
"Feb 28, 2018","17.898","17.898","17.898","17.898","-0.61%"
"Feb 27, 2018","18.007","18.007","18.007","18.007","-0.22%"
"Feb 26, 2018","18.046","18.046","18.046","18.046","0.87%"
"Feb 23, 2018","17.890","17.890","17.890","17.890","1.04%"
"Feb 22, 2018","17.706","17.706","17.706","17.706","-0.11%"
"Feb 21, 2018","17.726","17.726","17.726","17.726","0.35%"
"Feb 20, 2018","17.664","17.664","17.664","17.664","-0.18%"
"Feb 19, 2018","17.695","17.695","17.695","17.695","-0.71%"
"Feb 16, 2018","17.821","17.821","17.821","17.821","-0.88%"
"Feb 15, 2018","17.980","17.980","17.980","17.980","0.44%"
"Feb 14, 2018","17.902","17.902","17.902","17.902","-0.37%"
"Feb 13, 2018","17.968","17.968","17.968","17.968","0.00%"
"Feb 12, 2018","17.968","17.968","17.968","17.968","0.81%"
"Feb 09, 2018","17.824","17.824","17.824","17.824","-1.15%"
"Feb 08, 2018","18.031","18.031","18.031","18.031","1.01%"
"Feb 07, 2018","17.850","17.850","17.850","17.850","-0.19%"
"Feb 06, 2018","17.884","17.884","17.884","17.884","-1.57%"
"Feb 05, 2018","18.170","18.170","18.170","18.170","-0.87%"
"Feb 02, 2018","18.330","18.330","18.330","18.330","-2.32%"
"Feb 01, 2018","18.765","18.765","18.765","18.765","-0.14%"
"Jan 31, 2018","18.792","18.792","18.792","18.792","-0.20%"
"Jan 30, 2018","18.829","18.829","18.829","18.829","-0.72%"
"Jan 29, 2018","18.965","18.965","18.965","18.965","0.55%"
"Jan 26, 2018","18.862","18.862","18.862","18.862","0.00%"
"Jan 25, 2018","18.862","18.862","18.862","18.862","-0.15%"
"Jan 24, 2018","18.890","18.890","18.890","18.890","0.03%"
"Jan 23, 2018","18.885","18.885","18.885","18.885","1.07%"
"Jan 22, 2018","18.685","18.685","18.685","18.685","0.66%"
"Jan 19, 2018","18.562","18.562","18.562","18.562","0.71%"
"Jan 18, 2018","18.431","18.431","18.431","18.431","0.28%"
"Jan 17, 2018","18.380","18.380","18.380","18.380","0.82%"
"Jan 16, 2018","18.231","18.231","18.231","18.231","-0.38%"
"Jan 15, 2018","18.301","18.301","18.301","18.301","0.56%"
"Jan 12, 2018","18.199","18.199","18.199","18.199","0.28%"
"Jan 11, 2018","18.148","18.148","18.148","18.148","0.18%"
"Jan 10, 2018","18.116","18.116","18.116","18.116","-0.04%"
"Jan 09, 2018","18.124","18.124","18.124","18.124","0.12%"
"Jan 08, 2018","18.102","18.102","18.102","18.102","0.61%"
"Jan 05, 2018","17.992","17.992","17.992","17.992","0.51%"
"Jan 04, 2018","17.900","17.900","17.900","17.900","0.58%"
"Jan 03, 2018","17.796","17.796","17.796","17.796","0.01%"
"Jan 02, 2018","17.794","17.794","17.794","17.794","0.06%"
"Jan 01, 2018","17.783","17.783","17.783","17.783","-0.90%"
"Dec 29, 2017","17.945","17.945","17.945","17.945","0.50%"
"Dec 28, 2017","17.855","17.855","17.855","17.855","-0.13%"
"Dec 27, 2017","17.878","17.878","17.878","17.878","-0.38%"
"Dec 26, 2017","17.947","17.947","17.947","17.947","0.36%"
"Dec 25, 2017","17.882","17.882","17.882","17.882","0.00%"
"Dec 22, 2017","17.882","17.882","17.882","17.882","0.50%"
"Dec 21, 2017","17.793","17.793","17.793","17.793","-0.03%"
"Dec 20, 2017","17.799","17.799","17.799","17.799","-0.19%"
"Dec 19, 2017","17.832","17.832","17.832","17.832","0.72%"
"Dec 18, 2017","17.705","17.705","17.705","17.705","0.53%"
"Dec 15, 2017","17.611","17.611","17.611","17.611","0.79%"
"Dec 14, 2017","17.473","17.473","17.473","17.473","0.58%"
"Dec 13, 2017","17.372","17.372","17.372","17.372","-0.46%"
"Dec 12, 2017","17.453","17.453","17.453","17.453","-0.80%"
"Dec 11, 2017","17.593","17.593","17.593","17.593","0.55%"
"Dec 08, 2017","17.497","17.497","17.497","17.497","0.98%"
"Dec 07, 2017","17.328","17.328","17.328","17.328","1.21%"
"Dec 06, 2017","17.120","17.120","17.120","17.120","-0.73%"
"Dec 05, 2017","17.246","17.246","17.246","17.246","-0.10%"
"Dec 04, 2017","17.263","17.263","17.263","17.263","0.06%"
"Dec 01, 2017","17.253","17.253","17.253","17.253","-1.03%"
"Nov 30, 2017","17.432","17.432","17.432","17.432","-1.30%"
"Nov 29, 2017","17.661","17.661","17.661","17.661","-0.09%"
"Nov 28, 2017","17.677","17.677","17.677","17.677","-0.28%"
"Nov 27, 2017","17.727","17.727","17.727","17.727","0.09%"
"Nov 24, 2017","17.711","17.711","17.711","17.711","0.39%"
"Nov 23, 2017","17.643","17.643","17.643","17.643","0.06%"
"Nov 22, 2017","17.632","17.632","17.632","17.632","0.15%"
"Nov 21, 2017","17.606","17.606","17.606","17.606","0.27%"
"Nov 20, 2017","17.558","17.558","17.558","17.558","0.14%"
"Nov 17, 2017","17.533","17.533","17.533","17.533","0.67%"
"Nov 16, 2017","17.416","17.416","17.416","17.416","0.96%"
"Nov 15, 2017","17.251","17.251","17.251","17.251","-0.67%"
"Nov 14, 2017","17.368","17.368","17.368","17.368","-0.37%"
"Nov 13, 2017","17.433","17.433","17.433","17.433","-0.94%"
"Nov 10, 2017","17.599","17.599","17.599","17.599","0.13%"
"Nov 09, 2017","17.577","17.577","17.577","17.577","0.06%"
"Nov 08, 2017","17.567","17.567","17.567","17.567","-0.45%"
"Nov 07, 2017","17.647","17.647","17.647","17.647","-0.97%"
"Nov 06, 2017","17.820","17.820","17.820","17.820","-0.01%"
"Nov 03, 2017","17.821","17.821","17.821","17.821","0.29%"
"Nov 02, 2017","17.769","17.769","17.769","17.769","-0.16%"
"Nov 01, 2017","17.797","17.797","17.797","17.797","1.01%"
"Oct 31, 2017","17.619","17.619","17.619","17.619","-0.20%"
"Oct 30, 2017","17.655","17.655","17.655","17.655","0.39%"
"Oct 27, 2017","17.587","17.587","17.587","17.587","-0.20%"
"Oct 26, 2017","17.622","17.622","17.622","17.622","0.47%"
"Oct 25, 2017","17.540","17.540","17.540","17.540","0.87%"
"Oct 24, 2017","17.389","17.389","17.389","17.389","0.22%"
"Oct 23, 2017","17.351","17.351","17.351","17.351","-0.26%"
"Oct 20, 2017","17.396","17.396","17.396","17.396","0.00%"
"Oct 19, 2017","17.396","17.396","17.396","17.396","0.00%"
"Oct 18, 2017","17.396","17.396","17.396","17.396","-0.23%"
"Oct 17, 2017","17.436","17.436","17.436","17.436","0.03%"
"Oct 16, 2017","17.430","17.430","17.430","17.430","0.61%"
"Oct 13, 2017","17.325","17.325","17.325","17.325","0.69%"
"Oct 12, 2017","17.207","17.207","17.207","17.207","1.11%"
"Oct 11, 2017","17.018","17.018","17.018","17.018","-0.33%"
"Oct 10, 2017","17.074","17.074","17.074","17.074","0.28%"
"Oct 09, 2017","17.026","17.026","17.026","17.026","0.09%"
"Oct 06, 2017","17.011","17.011","17.011","17.011","0.92%"
"Oct 05, 2017","16.856","16.856","16.856","16.856","-0.27%"
"Oct 04, 2017","16.901","16.901","16.901","16.901","0.56%"
"Oct 03, 2017","16.807","16.807","16.807","16.807","0.71%"
"Oct 02, 2017","16.688","16.688","16.688","16.688","0.00%"
"Sep 29, 2017","16.688","16.688","16.688","16.688","0.20%"
"Sep 28, 2017","16.654","16.654","16.654","16.654","0.33%"
"Sep 27, 2017","16.600","16.600","16.600","16.600","-1.37%"
"Sep 26, 2017","16.831","16.831","16.831","16.831","-0.01%"
"Sep 25, 2017","16.833","16.833","16.833","16.833","-0.92%"
"Sep 22, 2017","16.990","16.990","16.990","16.990","-1.55%"
"Sep 21, 2017","17.258","17.258","17.258","17.258","-0.19%"
"Sep 20, 2017","17.290","17.290","17.290","17.290","-0.06%"
"Sep 19, 2017","17.301","17.301","17.301","17.301","-0.06%"
"Sep 18, 2017","17.311","17.311","17.311","17.311","0.68%"
"Sep 15, 2017","17.194","17.194","17.194","17.194","-0.02%"
"Sep 14, 2017","17.197","17.197","17.197","17.197","0.08%"
"Sep 13, 2017","17.184","17.184","17.184","17.184","-0.14%"
"Sep 12, 2017","17.208","17.208","17.208","17.208","0.87%"
"Sep 11, 2017","17.060","17.060","17.060","17.060","0.73%"
"Sep 08, 2017","16.936","16.936","16.936","16.936","0.05%"
"Sep 07, 2017","16.927","16.927","16.927","16.927","0.15%"
"Sep 06, 2017","16.902","16.902","16.902","16.902","-0.37%"
"Sep 05, 2017","16.964","16.964","16.964","16.964","0.40%"
"Sep 04, 2017","16.897","16.897","16.897","16.897","-0.62%"
"Sep 01, 2017","17.002","17.002","17.002","17.002","0.57%"
"Aug 31, 2017","16.906","16.906","16.906","16.906","0.34%"
"Aug 30, 2017","16.848","16.848","16.848","16.848","0.90%"
"Aug 29, 2017","16.698","16.698","16.698","16.698","-1.18%"
"Aug 28, 2017","16.897","16.897","16.897","16.897","0.57%"
"Aug 25, 2017","16.802","16.802","16.802","16.802","0.00%"
"Aug 24, 2017","16.802","16.802","16.802","16.802","0.07%"
"Aug 23, 2017","16.790","16.790","16.790","16.790","0.88%"
"Aug 22, 2017","16.643","16.643","16.643","16.643","0.11%"
