"Index Name","Date","Open","High","Low","Close"
"NIFTY 10 YR BENCHMARK G-SEC","05 Jun 2017","-","-","-","1621.75"
"NIFTY 10 YR BENCHMARK G-SEC","02 Jun 2017","-","-","-","1623.41"
"NIFTY 10 YR BENCHMARK G-SEC","01 Jun 2017","-","-","-","1623.26"
"NIFTY 10 YR BENCHMARK G-SEC","31 May 2017","-","-","-","1618.40"
"NIFTY 10 YR BENCHMARK G-SEC","30 May 2017","-","-","-","1618.10"
"NIFTY 10 YR BENCHMARK G-SEC","29 May 2017","-","-","-","1617.42"
"NIFTY 10 YR BENCHMARK G-SEC","26 May 2017","-","-","-","1618.89"
"NIFTY 10 YR BENCHMARK G-SEC","25 May 2017","-","-","-","1617.05"
"NIFTY 10 YR BENCHMARK G-SEC","24 May 2017","-","-","-","1614.71"
"NIFTY 10 YR BENCHMARK G-SEC","23 May 2017","-","-","-","1615.35"
"NIFTY 10 YR BENCHMARK G-SEC","22 May 2017","-","-","-","1617.40"
"NIFTY 10 YR BENCHMARK G-SEC","19 May 2017","-","-","-","1607.06"
"NIFTY 10 YR BENCHMARK G-SEC","18 May 2017","-","-","-","1608.21"
"NIFTY 10 YR BENCHMARK G-SEC","17 May 2017","-","-","-","1607.63"
"NIFTY 10 YR BENCHMARK G-SEC","16 May 2017","-","-","-","1607.48"
"NIFTY 10 YR BENCHMARK G-SEC","15 May 2017","-","-","-","1611.02"
"NIFTY 10 YR BENCHMARK G-SEC","12 May 2017","-","-","-","1599.50"
"NIFTY 10 YR BENCHMARK G-SEC","11 May 2017","-","-","-","1595.34"
"NIFTY 10 YR BENCHMARK G-SEC","10 May 2017","-","-","-","1595.19"
"NIFTY 10 YR BENCHMARK G-SEC","09 May 2017","-","-","-","1594.89"
"NIFTY 10 YR BENCHMARK G-SEC","08 May 2017","-","-","-","1595.85"
"NIFTY 10 YR BENCHMARK G-SEC","05 May 2017","-","-","-","1593.56"
"NIFTY 10 YR BENCHMARK G-SEC","04 May 2017","-","-","-","1590.23"
"NIFTY 10 YR BENCHMARK G-SEC","03 May 2017","-","-","-","1591.49"
"NIFTY 10 YR BENCHMARK G-SEC","02 May 2017","-","-","-","1587.26"
"NIFTY 10 YR BENCHMARK G-SEC","01 May 2017","-","-","-","1590.25"
"NIFTY 10 YR BENCHMARK G-SEC","28 Apr 2017","-","-","-","1589.34"
"NIFTY 10 YR BENCHMARK G-SEC","27 Apr 2017","-","-","-","1590.96"
"NIFTY 10 YR BENCHMARK G-SEC","26 Apr 2017","-","-","-","1589.20"
"NIFTY 10 YR BENCHMARK G-SEC","25 Apr 2017","-","-","-","1591.26"
"NIFTY 10 YR BENCHMARK G-SEC","24 Apr 2017","-","-","-","1590.05"
"NIFTY 10 YR BENCHMARK G-SEC","21 Apr 2017","-","-","-","1591.70"
"NIFTY 10 YR BENCHMARK G-SEC","20 Apr 2017","-","-","-","1595.86"
"NIFTY 10 YR BENCHMARK G-SEC","19 Apr 2017","-","-","-","1598.27"
"NIFTY 10 YR BENCHMARK G-SEC","18 Apr 2017","-","-","-","1596.83"
"NIFTY 10 YR BENCHMARK G-SEC","17 Apr 2017","-","-","-","1598.26"
"NIFTY 10 YR BENCHMARK G-SEC","14 Apr 2017","-","-","-","1600.19"
"NIFTY 10 YR BENCHMARK G-SEC","13 Apr 2017","-","-","-","1599.89"
"NIFTY 10 YR BENCHMARK G-SEC","12 Apr 2017","-","-","-","1604.13"
"NIFTY 10 YR BENCHMARK G-SEC","11 Apr 2017","-","-","-","1600.36"
"NIFTY 10 YR BENCHMARK G-SEC","10 Apr 2017","-","-","-","1594.24"
"NIFTY 10 YR BENCHMARK G-SEC","07 Apr 2017","-","-","-","1598.36"
"NIFTY 10 YR BENCHMARK G-SEC","06 Apr 2017","-","-","-","1603.55"
"NIFTY 10 YR BENCHMARK G-SEC","05 Apr 2017","-","-","-","1616.15"
"NIFTY 10 YR BENCHMARK G-SEC","04 Apr 2017","-","-","-","1616.15"
"NIFTY 10 YR BENCHMARK G-SEC","03 Apr 2017","-","-","-","1615.86"
"NIFTY 10 YR BENCHMARK G-SEC","31 Mar 2017","-","-","-","1610.09"
"NIFTY 10 YR BENCHMARK G-SEC","30 Mar 2017","-","-","-","1610.39"
"NIFTY 10 YR BENCHMARK G-SEC","29 Mar 2017","-","-","-","1603.58"
"NIFTY 10 YR BENCHMARK G-SEC","28 Mar 2017","-","-","-","1607.73"
"NIFTY 10 YR BENCHMARK G-SEC","27 Mar 2017","-","-","-","1607.43"
"NIFTY 10 YR BENCHMARK G-SEC","24 Mar 2017","-","-","-","1593.39"
"NIFTY 10 YR BENCHMARK G-SEC","23 Mar 2017","-","-","-","1592.99"
"NIFTY 10 YR BENCHMARK G-SEC","22 Mar 2017","-","-","-","1594.69"
"NIFTY 10 YR BENCHMARK G-SEC","21 Mar 2017","-","-","-","1586.17"
"NIFTY 10 YR BENCHMARK G-SEC","20 Mar 2017","-","-","-","1585.00"
"NIFTY 10 YR BENCHMARK G-SEC","17 Mar 2017","-","-","-","1587.88"
"NIFTY 10 YR BENCHMARK G-SEC","16 Mar 2017","-","-","-","1589.61"
"NIFTY 10 YR BENCHMARK G-SEC","15 Mar 2017","-","-","-","1591.03"
"NIFTY 10 YR BENCHMARK G-SEC","14 Mar 2017","-","-","-","1582.62"
"NIFTY 10 YR BENCHMARK G-SEC","13 Mar 2017","-","-","-","1581.92"
"NIFTY 10 YR BENCHMARK G-SEC","10 Mar 2017","-","-","-","1581.03"
"NIFTY 10 YR BENCHMARK G-SEC","09 Mar 2017","-","-","-","1586.21"
"NIFTY 10 YR BENCHMARK G-SEC","08 Mar 2017","-","-","-","1584.73"
"NIFTY 10 YR BENCHMARK G-SEC","07 Mar 2017","-","-","-","1587.96"
"NIFTY 10 YR BENCHMARK G-SEC","06 Mar 2017","-","-","-","1583.88"
"NIFTY 10 YR BENCHMARK G-SEC","03 Mar 2017","-","-","-","1593.49"
"NIFTY 10 YR BENCHMARK G-SEC","02 Mar 2017","-","-","-","1586.85"
"NIFTY 10 YR BENCHMARK G-SEC","01 Mar 2017","-","-","-","1576.37"
"NIFTY 10 YR BENCHMARK G-SEC","28 Feb 2017","-","-","-","1582.15"
"NIFTY 10 YR BENCHMARK G-SEC","27 Feb 2017","-","-","-","1580.21"
"NIFTY 10 YR BENCHMARK G-SEC","24 Feb 2017","-","-","-","1575.71"
"NIFTY 10 YR BENCHMARK G-SEC","23 Feb 2017","-","-","-","1575.41"
"NIFTY 10 YR BENCHMARK G-SEC","22 Feb 2017","-","-","-","1572.96"
"NIFTY 10 YR BENCHMARK G-SEC","21 Feb 2017","-","-","-","1576.16"
"NIFTY 10 YR BENCHMARK G-SEC","20 Feb 2017","-","-","-","1575.87"
"NIFTY 10 YR BENCHMARK G-SEC","17 Feb 2017","-","-","-","1580.46"
"NIFTY 10 YR BENCHMARK G-SEC","16 Feb 2017","-","-","-","1580.85"
"NIFTY 10 YR BENCHMARK G-SEC","15 Feb 2017","-","-","-","1578.54"
"NIFTY 10 YR BENCHMARK G-SEC","14 Feb 2017","-","-","-","1576.87"
"NIFTY 10 YR BENCHMARK G-SEC","13 Feb 2017","-","-","-","1581.48"
"NIFTY 10 YR BENCHMARK G-SEC","10 Feb 2017","-","-","-","1583.03"
