"Date","Price","Open","High","Low","Change %"
"14-06-2005","6.915","6.915","6.915","6.915","0.39%"
"13-06-2005","6.888","6.888","6.888","6.888","0.19%"
"11-06-2005","6.875","6.875","6.875","6.875","0.39%"
"10-06-2005","6.848","6.848","6.848","6.848","0.29%"
"09-06-2005","6.828","6.828","6.828","6.828","0.35%"
"08-06-2005","6.804","6.804","6.804","6.804","-0.74%"
"07-06-2005","6.855","6.855","6.855","6.855","-0.59%"
"06-06-2005","6.896","6.896","6.896","6.896","-0.09%"
"04-06-2005","6.902","6.902","6.902","6.902","0.09%"
"03-06-2005","6.896","6.896","6.896","6.896","-0.35%"
"02-06-2005","6.920","6.920","6.920","6.920","-0.04%"
"01-06-2005","6.923","6.923","6.923","6.923","-0.80%"
"31-05-2005","6.979","6.979","6.979","6.979","-0.33%"
"30-05-2005","7.002","7.002","7.002","7.002","0.10%"
"28-05-2005","6.995","6.995","6.995","6.995","0.34%"
"27-05-2005","6.971","6.971","6.971","6.971","0.00%"
"26-05-2005","6.971","6.971","6.971","6.971","0.68%"
"25-05-2005","6.924","6.924","6.924","6.924","0.10%"
"24-05-2005","6.917","6.917","6.917","6.917","-1.64%"
"21-05-2005","7.032","7.032","7.032","7.032","0.39%"
"20-05-2005","7.005","7.005","7.005","7.005","-0.86%"
"19-05-2005","7.066","7.066","7.066","7.066","-1.34%"
"18-05-2005","7.162","7.162","7.162","7.162","0.01%"
"17-05-2005","7.161","7.161","7.161","7.161","-0.50%"
"16-05-2005","7.197","7.197","7.197","7.197","0.39%"
"14-05-2005","7.169","7.169","7.169","7.169","0.00%"
"13-05-2005","7.169","7.169","7.169","7.169","-0.35%"
"12-05-2005","7.194","7.194","7.194","7.194","-0.14%"
"11-05-2005","7.204","7.204","7.204","7.204","0.00%"
"10-05-2005","7.204","7.204","7.204","7.204","-0.66%"
"09-05-2005","7.252","7.252","7.252","7.252","0.00%"
"07-05-2005","7.252","7.252","7.252","7.252","-0.11%"
